NO.,所在地,名称,電話番号,詳細,指定避難所（市の呼称）,津波緊急避難所（市の呼称）,安全度ランク,避難生活施設（市の呼称）,洪水への対応,高潮への対応,土砂災害への対応,地震への対応,津波への対応,備考,緯度,経度
24,伊勢市浦口3丁目13-1,宇治山田高等学校 校舎,0596-28-7158,,TRUE,TRUE,☆☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4883424800000 ,136.69372050000 
25,伊勢市浦口3丁目13-1,宇治山田高等学校 体育館,0596-28-7158,,TRUE,TRUE,☆☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4883424800000 ,136.69372050000 
26,伊勢市常磐2丁目4-40,伊勢市子育て支援センター きらら館,0596-22-5592,２階テラス,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.4935054900000 ,136.69656270000 
27,伊勢市二俣1丁目2-17,中島小学校 校舎,0596-23-5907,２階以上,TRUE,TRUE,☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4921840500000 ,136.69220230000 
28,伊勢市二俣1丁目2-17,中島小学校 屋内運動場,0596-23-5907,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.4921840500000 ,136.69220230000 
29,伊勢市二俣4丁目5-3,伊勢宮川中学校 校舎,0596-25-8315,,TRUE,TRUE,☆☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,自主,34.4821312200000 ,136.68896520000 
30,伊勢市二俣4丁目5-3,伊勢宮川中学校 屋内運動場,0596-25-8315,,TRUE,TRUE,☆☆☆,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,自主,34.4821312200000 ,136.68896520000 
31,伊勢市浦口町,三郷山,-,,FALSE,TRUE,▲,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.4767924000000 ,136.68183440000 
32,伊勢市神社港294,旧神社小学校 校舎,-,３階以上,TRUE,TRUE,☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,自主,34.5122947500000 ,136.73491420000 
33,伊勢市神社港294,旧神社小学校 屋内運動場,-,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.5122947500000 ,136.73491420000 
34,伊勢市竹ヶ鼻町78-10,港中学校 校舎,0596-36-4144,３階以上,TRUE,TRUE,☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.5109644400000 ,136.73273040000 
35,伊勢市竹ヶ鼻町78-10,港中学校 屋内運動場,0596-36-4144,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.5109644400000 ,136.73273040000 
36,伊勢市竹ヶ鼻町98-2,竹ヶ鼻第一団地(東棟),-,３階以上,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5106410600000 ,136.73109100000 
37,伊勢市竹ヶ鼻町99-5,竹ヶ鼻第一団地(西棟)　,-,３階以上,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5104421400000 ,136.73046340000 
38,伊勢市竹ヶ鼻町99-96,シンフォニアエンジニアリング株式会社,0596-36-4479,２階以上,FALSE,TRUE,☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,民間,34.5102785500000 ,136.73014470000 
39,伊勢市竹ヶ鼻町100,シンフォニアテクノロジー 総合ビル,0596-36-1155,２階以上,FALSE,TRUE,☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,民間,34.5085542400000 ,136.72828050000 
40,伊勢市神社港107-5,シンフォニアテクノロジー 五十鈴寮,0596-31-2010,３階以上,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,民間,34.5132201800000 ,136.73420230000 
41,伊勢市小木町曽祢538,イオンタウン伊勢ララパーク,0596-31-1211,屋上駐車場,FALSE,TRUE,☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,民間,34.5064859900000 ,136.72247430000 
42,伊勢市小木町249-6,アンジュール小木Ⅱ,-,３階以上,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,民間,34.5023090100000 ,136.72421690000 
43,伊勢市馬瀬町850,わが家　伊勢,0596-36-2200,屋上,FALSE,TRUE,☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,民間,34.5161341400000 ,136.72547040000 
44,伊勢市下野町600番地10,村田機械株式会社 伊勢事業所,0596-36-1260,２階以上,FALSE,TRUE,☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,民間,34.5175730000000 ,136.73899100000 
45,伊勢市大湊町98-5,大湊地区コミュニティセンター,0596-36-4534,屋上,FALSE,TRUE,☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5270209900000 ,136.73494620000 
46,伊勢市大湊町1118-194,旧大湊小学校 校舎,-,２階以上,TRUE,TRUE,☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.5266336400000 ,136.74465520000 
47,伊勢市大湊町1118-194,旧大湊小学校 屋内運動場,-,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.5266336400000 ,136.74465520000 
48,伊勢市大湊町1282,みなと小学校 校舎,0596-63-5320,２階以上,TRUE,TRUE,☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,自主,34.5183494600000 ,136.73417650000 
49,伊勢市大湊町1282,みなと小学校 屋内運動場,0596-63-5320,,TRUE,TRUE,☆☆,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,自主,34.5183494600000 ,136.73417650000 
50,伊勢市大湊町1126,三重県下水道公社宮川浄化センター,0596-36-3841,２階以上,FALSE,TRUE,☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5229481400000 ,136.73576200000 
51,伊勢市大湊町106-2,明神ポンプ場,-,３階以上,FALSE,TRUE,☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5268453200000 ,136.73295610000 
52,伊勢市大湊町528-1,大湊町 津波避難施設(タワー),-,,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5288242900000 ,136.73867010000 
53,伊勢市神田久志本町1645-2,倉田山中学校 校舎,0596-22-9415,,FALSE,TRUE,▲,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.4902983200000 ,136.72838450000 
54,伊勢市神田久志本町1645-2,倉田山中学校 屋内運動場,0596-22-9415,,FALSE,TRUE,▲,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.4902983200000 ,136.72838450000 
55,伊勢市神田久志本町1703-1,伊勢高等学校 校舎,0596-22-0281,,TRUE,TRUE,☆☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4875282000000 ,136.72836860000 
56,伊勢市神田久志本町1703-1,伊勢高等学校 体育館,0596-22-0281,,FALSE,TRUE,▲,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.4875282000000 ,136.72836860000 
57,伊勢市神久2丁目7-18,伊勢工業高等学校 校舎,0596-23-2234,３階以上,TRUE,TRUE,☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4931060600000 ,136.72152400000 
58,伊勢市黒瀬町562-12,伊勢市生涯学習センター,0596-21-0900,,TRUE,TRUE,☆☆☆,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,自主,34.4932742900000 ,136.73235270000 
59,伊勢市黒瀬町1882,黒瀬市民館,0596-25-7535,2階,FALSE,TRUE,▲,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5011710200000 ,136.73567890000 
60,伊勢市黒瀬町1193,宇治山田商業高等学校 校舎,0596-22-1101,,TRUE,TRUE,☆☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4928223200000 ,136.73938680000 
61,伊勢市黒瀬町1193,宇治山田商業高等学校 体育館,0596-22-1101,,TRUE,TRUE,☆☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4928223200000 ,136.73938680000 
62,伊勢市黒瀬町1648-1,浜郷小学校 校舎,0596-22-3701,３階以上,TRUE,TRUE,☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4995348400000 ,136.73637360000 
63,伊勢市黒瀬町1648-1,浜郷小学校 屋内運動場,0596-22-3701,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.4995348400000 ,136.73637360000 
64,伊勢市一色町1490-4,一色町津波避難施設(タワー),-,,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5096679100000 ,136.74247930000 
65,伊勢市神田久志本町1560,伊勢まなび高等学校 校舎,0596-25-3710,2階以上,FALSE,TRUE,▲,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.4902188000000 ,136.72991590000 
66,伊勢市楠部町156-1,倉田山公園,-,,FALSE,TRUE,☆☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.4904011100000 ,136.73260140000 
67,伊勢市神田久志本町1704,皇学館大学 第一グラウンド,0596-22-0201,,FALSE,TRUE,☆☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,民間,34.4860511500000 ,136.72753450000 
68,伊勢市旭町319,宮山小学校 屋内運動場,0596-28-2540,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.4735707800000 ,136.69710400000 
69,伊勢市前山町355-4,宮本地区コミュニティセンター,0596-22-2232,,TRUE,FALSE,☆☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,自主,34.4673906600000 ,136.68886160000 
70,伊勢市佐八町2278-12,佐八小学校 校舎,0596-39-0790,2階以上,TRUE,FALSE,☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,自主,34.4648881900000 ,136.66018660000 
71,伊勢市佐八町2278-12,佐八小学校 屋内運動場,0596-39-0790,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.4648881900000 ,136.66018660000 
72,伊勢市西豊浜町1779,豊浜西小学校 校舎,0596-37-2202,2階以上,TRUE,TRUE,☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.5204122300000 ,136.69431610000 
73,伊勢市西豊浜町1779,豊浜西小学校 屋内運動場,0596-37-2202,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.5204122300000 ,136.69431610000 
74,伊勢市西豊浜町2736,旧豊浜中学校 校舎,-,３階以上,TRUE,TRUE,☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,自主,34.5272274000000 ,136.69762600000 
75,伊勢市西豊浜町2736,旧豊浜中学校 屋内運動場,-,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.5272274000000 ,136.69762600000 
76,伊勢市西豊浜町3657-3,小川町民会館,0596-37-1908,屋上,FALSE,TRUE,☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5311589900000 ,136.70284200000 
77,伊勢市東豊浜町299-1,豊浜東小学校 校舎,0596-37-2156,３階以上,TRUE,TRUE,☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.5295593600000 ,136.71037200000 
78,伊勢市東豊浜町299-1,豊浜東小学校 屋内運動場,0596-37-2156,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.5295593600000 ,136.71037200000 
79,伊勢市東豊浜町1089,東豊浜町土路区町民会館,0596-37-2501,２階,FALSE,TRUE,▲,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5349138000000 ,136.71424320000 
80,東豊浜町3321-2,東豊浜町津波避難施設（タワー）,-,,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5327367900000 ,136.71408850000 
81,伊勢市西豊浜町653,清掃工場,0596-37-1218,2階のみ,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5209406800000 ,136.67578200000 
82,伊勢市植山町245-1,クリーンセンター,0596-37-4805,2階のみ,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5346431200000 ,136.68178510000 
83,伊勢市植山町461,桜浜中学校　校舎,0596-63-5605,2階以上,TRUE,TRUE,☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,自主,34.5349635300000 ,136.68402980000 
84,伊勢市植山町461,桜浜中学校　屋内運動場,0596-63-5605,２階,TRUE,TRUE,☆☆,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,自主,34.5349635300000 ,136.68402980000 
85,伊勢市磯町924-1,磯町津波避難施設（マウンド）,-,,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5198222400000 ,136.70410170000 
86,伊勢市村松町3285-1,北浜小学校 校舎,0596-37-2127,３階以上,TRUE,TRUE,☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,自主,34.5439331000000 ,136.69029210000 
87,伊勢市村松町3285-1,北浜小学校 屋内運動場,0596-37-2127,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.5439331000000 ,136.69029210000 
88,伊勢市有滝町2638,有滝町民会館,0596-37-3114,屋上,FALSE,TRUE,☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5407362400000 ,136.70248130000 
89,伊勢市有滝町2613,有滝町津波避難施設(タワー),-,,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5406820100000 ,136.70217490000 
90,伊勢市東大淀町15,旧北浜中学校 校舎,-,2階以上,TRUE,TRUE,☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.5529526600000 ,136.67703320000 
91,伊勢市東大淀町15,旧北浜中学校 屋内運動場,-,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.5529526600000 ,136.67703320000 
92,伊勢市東大淀町351,東大淀小学校 校舎,0596-37-2143,2階以上,TRUE,TRUE,☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.5567644500000 ,136.66304110000 
93,伊勢市東大淀町351,東大淀小学校 屋内運動場,0596-37-2143,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.5567644500000 ,136.66304110000 
94,伊勢市柏町528,柏町民会館,0596-37-0436,２階,FALSE,TRUE,▲,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5448928100000 ,136.65087690000 
95,伊勢市東大淀町201-1,東大淀町民会館,0596-37-3948,２階,FALSE,TRUE,▲,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5580650100000 ,136.66231780000 
96,伊勢市村松町1379-1,海惠の宿,0596-38-0022,3階以上,FALSE,TRUE,☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,民間,34.5414083600000 ,136.66684220000 
97,伊勢市村松町4485-1,村松町津波避難施設(タワー),-,,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5484324700000 ,136.68219550000 
98,伊勢市上地町1494,城田小学校 校舎,0596-22-3641,,TRUE,TRUE,☆☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4910856200000 ,136.66408340000 
99,伊勢市上地町1494,城田小学校 屋内運動場,0596-22-3641,,TRUE,TRUE,☆☆☆,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,自主,34.4910856200000 ,136.66408340000 
100,伊勢市粟野町472,城田中学校 校舎,0596-25-5978,3階以上,TRUE,TRUE,☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4863732500000 ,136.67199160000 
101,伊勢市粟野町472,城田中学校 屋内運動場,0596-25-5978,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.4863732500000 ,136.67199160000 
102,伊勢市楠部町2484,四郷小学校 校舎,0596-22-3397,2階以上,TRUE,TRUE,☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.4752341800000 ,136.73737400000 
103,伊勢市楠部町2484,四郷小学校 屋内運動場,0596-22-3397,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.4752341800000 ,136.73737400000 
104,伊勢市一宇田町891-1,しごうこども園,0596-25-6160,,TRUE,FALSE,☆☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,自主,34.4776568100000 ,136.75407130000 
105,伊勢市楠部町乙160-2,イオン伊勢店,0596-26-1500,屋上駐車場,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,民間,34.4782342600000 ,136.73114980000 
106,伊勢市上野町823,旧沼木中学校 校舎,-,,TRUE,FALSE,☆☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,34.4413665800000 ,136.66028260000 
107,伊勢市上野町823,旧沼木中学校 屋内運動場,-,,TRUE,FALSE,☆☆☆,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,34.4413665800000 ,136.66028260000 
108,伊勢市上野町2841-2,上野小学校 校舎,0596-39-1211,,TRUE,FALSE,☆☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,34.4340549400000 ,136.65354420000 
109,伊勢市上野町2841-2,上野小学校 屋内運動場,0596-39-1211,,TRUE,FALSE,☆☆☆,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,自主,34.4340549400000 ,136.65354420000 
110,伊勢市矢持町下村426,みどり保育園,0596-39-1330,,TRUE,FALSE,▲,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,民間 孤立,34.4098835200000 ,136.69170640000 
111,伊勢市二見町茶屋348,二見老人福祉センター,0596-44-0830,2階以上,FALSE,TRUE,▲,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5062568900000 ,136.77867370000 
112,伊勢市二見町溝口516-1,溝口会館,0596-43-4586,2階以上,FALSE,TRUE,▲,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5016991000000 ,136.75609190000 
113,伊勢市二見町荘1500,旧二見浦小学校 校舎,-,3階以上,TRUE,TRUE,☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.5071138500000 ,136.77462960000 
114,伊勢市二見町荘1500,旧二見浦小学校 屋内運動場,-,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.5071138500000 ,136.77462960000 
115,伊勢市二見町荘2037-2,旧二見中学校 校舎,-,2階以上,TRUE,TRUE,☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,34.5097581800000 ,136.77267100000 
116,伊勢市二見町荘2037-2,旧二見中学校 屋内運動場,-,,TRUE,FALSE,▲,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,34.5097581800000 ,136.77267100000 
117,伊勢市二見町光の街907-7,二見浦小学校・二見中学校　校舎,0596-42-1120,,TRUE,TRUE,☆☆☆,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,自主,34.4984120000000 ,136.76000200000 
118,伊勢市二見町光の街907-7,二見浦小学校・二見中学校　屋内運動場,0596-42-1120,,TRUE,TRUE,☆☆☆,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,自主,34.4984120000000 ,136.76000200000 
119,伊勢市二見町西866,西コミュニティセンター,0596-43-2230,2階以上,FALSE,TRUE,☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5117916100000 ,136.75762290000 
120,伊勢市二見町今一色3,旧今一色小学校 屋内運動場,-,,FALSE,FALSE,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,34.4735707800000 ,136.75037090000 
121,伊勢市二見町今一色120,今一色コミュニティセンター,0596-43-3586,屋上,FALSE,TRUE,☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5176293400000 ,136.74869480000 
122,伊勢市二見町今一色874-191,二見町今一色津波避難施設（タワー）,-,,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5206043100000 ,136.75102190000 
123,伊勢市二見町光の街1019-4,光の街コミュニティセンター,0596-42-2727,,FALSE,TRUE,▲,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.4984670000000 ,136.76435300000 
124,伊勢市二見町西185-58,県営住宅(五十鈴川団地),-,3階以上,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5067081000000 ,136.75741820000 
125,伊勢市二見町茶屋104-5,茶屋区防災センター,0596-43-2363,3階以上,FALSE,TRUE,☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,民間,34.5056348500000 ,136.77700450000 
126,伊勢市二見町三津1164-16,伊勢忍者キングダム駐車場,0596-43-2300,,FALSE,TRUE,☆☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,民間,34.4974989000000 ,136.77743870000 
127,伊勢市二見町三津字池田855,シルバーケア豊壽園,0596-44-2525,3階,FALSE,TRUE,☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,民間,34.5002552800000 ,136.77307140000 
128,伊勢市二見町西1122,西農業研修センター,0596-43-2230,屋上,FALSE,TRUE,☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,民間,34.5119159100000 ,136.75800120000 
129,伊勢市二見町西1017-363,カーサ二見Ａ,-,2階以上階段・通路,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5067715700000 ,136.75607900000 
130,伊勢市二見町西1017-363,カーサ二見Ｂ,-,2階以上階段・通路,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5067715700000 ,136.75607900000 
131,伊勢市二見町西2088-1,二見町西津波避難施設（タワー）,-,,FALSE,TRUE,☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5092968200000 ,136.75623810000 
132,伊勢市二見町茶屋,音無山,-,,FALSE,TRUE,▲,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5066698600000 ,136.78531020000 
133,伊勢市二見町三津1210-2,国道42号 緑の一里塚(パーキング),-,,FALSE,TRUE,☆☆☆,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,34.5035732600000 ,136.78058940000 
134,伊勢市二見町江1659,太江寺境内,-,,FALSE,TRUE,▲,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,民間,34.5048039700000 ,136.79146080000 
